ابب
راس
راف
راي
ربب
ربح
ربص
ربط
ربع
ربو
رتع
رتق
رتل
رجج
رجز
رجس
رجع
رجف
رجل
رجم
رجو
رحب
رحق
رحل
رحم
رخو
ردا
ردد
ردف
ردم
ردي
رذل
رزق
رسخ
رسس
رسل
رسو
رشد
رصد
رصص
رضع
رضو
رطب
رعب
رعد
رعي
رغب
رغد
رغم
رفت
رفث
رفد
رفرف
رفع
رفق
رقب
رقد
رقق
رقم
رقي
ركب
ركد
ركز
ركس
ركض
ركع
ركم
ركن
رمح
رمد
رمز
رمم
رمن
رمي
رهب
رهط
رهق
رهن
رهو
روح
رود
روض
روع
روغ
ريب
ريش
ريع
رين
ز
زبد
زبر
زبن
زجج
زجر
زجو
زحزح
زحف
زخرف
زرع
زرق
زري
زعم
زفر
زفف
زقم
زكو
زلزل
زلف
زلق
زلل
زلم
زمر
زمل
زمهر
زنم
زني
زهد
زهر
زهق
زوج
زود
زور
زول
زيت
زيد
زيغ
زيل
زين
س
سال
سام
سبب
سبت
سبح
سبط
سبع
سبغ
سبق
سبل
ستت
ستر
سجد
سجر
سجل
سجن
سجو
سحب
سحت
سحر
سحق
سحل
سخر
سخط
سدد
سدر
سدس
سدي
سرب
سربل
سرج
سرح
سرد
سردق
سرر
سرع
سرف
سرق
سرمد
سري
سطح
سطر
سطو
سعد
سعر
سعي
سغب
سفح
سفر
سفع
سفك
سفل
سفن
سفه
سقط
سقف
سقم
سقي
سكب
سكت
سكر
سكن
سلب
سلح
سلخ
سلسل
سلط
سلف
سلق
سلك
سلل
سلم
سلو
سمد
سمر
سمع
سمك
سمم
سمن
سمو
سنبل
سند
سنم
سنن
سنه
سنو
سهر
سهل
سهم
سهو
سوا
سوح
سود
سور
سوط
سوع
سوغ
سوق
سول
سوم
سوي
سيب
سيح
سير
سيل
ش
شام
شان
شبه
شتت
شتو
شجر
شحح
شحم
شحن
شخص
شدد
شرب
شرح
شرد
شرذم
شرر
شرط
شرع
شرق
شرك
شري
شطا
شطر
شطط
شطن
شعب
شعر
شعل
شغف
شغل
شفع
شفق
شفه
شفو
شفي
شقق
شقو
شكر
شكس
شكك
شكل
شكو
شمت
شمخ
شمز
شمس
شمل
شنا
شهب
شهد
شهر
شهق
شهو
شوب
شور
شوظ
شوك
شوي
شيا
شيب
شيخ
شيد
شيع
ص
صبا
صبب
صبح
صبر
صبع
صبغ
صبو
صحب
صحف
صخخ
صخر
صدد
صدر
صدع
صدف
صدق
صدي
صرح
صرخ
صرر
صرصر
صرط
صرع
صرف
صرم
صعد
صعر
صعق
صغر
صغو
صفح
صفد
صفر
صفصف
صفف
صفن
صفو
صكك
صلب
صلح
صلد
صلصل
صلو
صلي
صمت
صمد
صمع
صمم
صنع
صنم
صنو
صهر
صوب
صوت
صور
صوع
صوف
صوم
صيح
صيد
صير
صيص
صيف
ض
ضان
ضبح
ضجع
ضحك
ضحو
ضدد
ضرب
ضرر
ضرع
ضعف
ضغث
ضغن
ضفدع
ضلل
ضمر
ضمم
ضنك
ضنن
ضها
ضوا
ضير
ضيز
ضيع
ضيف
ضيق
ط
طبع
طبق
طحو
طرح
طرد
طرف
طرق
طرو
طعم
طعن
طغي
طفا
طفف
طفق
طفل
طلب
طلح
طلع
طلق
طلل
طمث
طمس
طمع
طمم
طمن
طهر
طود
طور
طوع
طوف
طوق
طول
طوي
طيب
طير
طين
ظ
ظعن
ظفر
ظلل
ظلم
ظما
ظنن
ظهر
ع
عبا
عبث
عبد
عبر
عبس
عبقر
عتب
عتد
عتق
عتل
عتو
عثر
عثو
عجب
عجز
عجف
عجل
عجم
عدد
عدس
عدل
عدو
عذب
عذر
عرب
عرج
عرجن
عرر
عرش
عرض
عرف
عرم
عرو
عري
عزب
عزر
عزز
عزل
عزم
عزو
عسر
عسعس
عسل
عسي
عشر
عشو
عصب
عصر
عصف
عصم
عصو
عصي
عضد
عضض
عضل
عضو
عطف
عطل
عطو
عظم
عفر
عفف
عفو
عقب
عقد
عقر
عقل
عقم
عكف
علق
علم
علن
علو
عمد
عمر
عمق
عمل
عمم
عمه
عمي
عنب
عنت
عند
عنق
عنكب
عنو
عهد
عهن
عوج
عود
عوذ
عور
عوق
عول
عوم
عون
عيب
عير
عيش
عيل
عين
عيي
غ
غبر
غبن
غثو
غدر
غدق
غدو
غرب
غرر
غرف
غرق
غرم
غرو
غزل
غزو
غسق
غسل
غشو
غصب
غصص
غضب
غضض
غطش
غطو
غفر
غفل
غلب
غلظ
غلف
غلق
غلل
غلم
غلو
غلي
غمر
غمز
غمض
غمم
غنم
غني
غوث
غور
غوص
غوط
غول
غوي
غيب
غيث
غير
غيض
غيظ
ف
فاد
فاي
فتا
فتح
فتر
فتق
فتل
فتن
فتي
فجج
فجر
فجو
فحش
فخر
فدي
فرت
فرث
فرج
فرح
فرد
فرر
فرش
فرض
فرط
فرع
فرغ
فرق
فره
فري
فزز
فزع
فسح
فسد
فسر
فسق
فشل
فصح
فصل
فصم
فضح
فضض
فضل
فضو
فطر
فظظ
فعل
فقد
فقر
فقع
فقه
فكر
فكك
فكه
فلح
فلق
فلك
فلن
فند
فنن
فني
فهم
فوت
فوج
فور
فوز
فوض
فوق
فوم
فوه
فيا
فيض
فيل
ق
قبح
قبر
قبس
قبض
قبل
قتر
قتل
قثا
قحم
قدح
قدد
قدر
قدس
قدم
قدو
قذف
قرا
قرب
قرح
قرد
قرر
قرض
قرطس
قرع
قرف
قرن
قري
قسر
قسس
قسط
قسطس
قسم
قسو
قشعر
قصد
قصر
قصص
قصف
قصم
قصو
قضب
قضض
قضي
قطر
قطط
قطع
قطف
قطمر
قعد
قعر
قفل
قفو
قلب
قلد
قلع
قلل
قلم
قلي
قمح
قمر
قمص
قمطر
قمع
قمل
قنت
قنط
قنطر
قنع
قنو
قني
قهر
قوب
قوت
قوس
قوع
قول
قوم
قوي
قيض
قيل
ك
كاس
كبب
كبت
كبد
كبر
كبكب
كتب
كتم
كثب
كثر
كدح
كدر
كدي
كذب
كرب
كرر
كرس
كرم
كره
كسب
كسد
كسف
كسل
كسو
كشط
كشف
كظم
كعب
كفا
كفت
كفر
كفف
كفل
كفي
كلا
كلب
كلح
كلف
كلل
كلم
كلو
كمل
كمم
كمه
كند
كنز
كنس
كنن
كهف
كهل
كهن
كوب
كود
كور
كوكب
كون
كوي
كيد
كيف
كيل
كين
ل
لالا
لبب
لبث
لبد
لبس
لبن
لجا
لجج
لحد
لحف
لحق
لحم
لحن
لحي
لدد
لدن
لذذ
لزب
لزم
لسن
لطف
لظي
لعب
لعن
لغب
لغو
لفت
لفح
لفظ
لفف
لفو
لقب
لقح
لقط
لقف
لقم
لقي
لمح
لمز
لمس
لمم
لهب
لهث
لهم
لهو
لوت
لوح
لوذ
لوم
لون
لوي
ليت
ليس
ليل
لين
م
ماي
متع
متن
مثل
مجد
مجس
محص
محق
محل
محن
محو
مخر
مخض
مدد
مدن
مرا
مرج
مرح
مرد
مرر
مرض
مري
مزج
مزق
مزن
مسح
مسخ
مسد
مسس
مسك
مسو
مشج
مشي
مصر
مضغ
مضي
مطر
مطو
معز
معن
معي
مقت
مكث
مكر
مكن
مكو
ملا
ملح
ملق
ملك
ملل
ملو
منع
منن
مني
مهد
مهل
مهن
موت
موج
مور
مول
موه
ميد
مير
ميز
ميل
ن
ناي
نبا
نبت
نبذ
نبز
نبط
نبع
نتق
نثر
نجد
نجس
نجم
نجو
نحب
نحت
نحر
نحس
نحل
نخر
نخل
ندد
ندم
ندو
نذر
نزع
نزغ
نزف
نزل
نسا
نسب
نسخ
نسر
نسف
نسك
نسل
نسو
نسي
نشا
نشر
نشز
نشط
نصب
نصت
نصح
نصر
نصف
نصي
نضج
نضخ
نضد
نضر
نطح
نطف
نطق
نظر
نعج
نعس
نعق
نعل
نعم
نغض
نفث
نفح
نفخ
نفد
نفذ
نفر
نفس
نفش
نفع
نفق
نفل
نفي
نقب
نقذ
نقر
نقص
نقض
نقع
نقم
نكب
نكث
نكح
نكد
نكر
نكس
نكص
نكف
نكل
نمل
نمم
نهج
نهر
نهي
نوا
نوب
نور
نوس
نوش
نوص
نوق
نوم
نون
نوي
نيل
ه
هات
هبط
هبو
هجد
هجر
هجع
هدد
هدم
هدهد
هدي
هرب
هرع
هزا
هزز
هزل
هزم
هشش
هشم
هضم
هطع
هلع
هلك
هلل
همد
همر
همز
همس
همم
همن
هنا
هود
هور
هون
هوي
هيا
هيت
هيج
هيل
هيم
و
واد
وال
وبر
وبق
وبل
وتد
وتر
وتن
وثق
وثن
وجب
وجد
وجس
وجف
وجل
وجه
وحد
وحش
وحي
ودد
ودع
ودق
ودي
وذر
ورث
ورد
ورق
وري
وزر
وزع
وزن
وسط
وسع
وسق
وسل
وسم
وسن
وسوس
وشي
وصب
وصد
وصف
وصل
وصي
وضع
وضن
وطا
وطر
وطن
وعد
وعظ
وعي
وفد
وفر
وفض
وفق
وفي
وقب
وقت
وقد
وقذ
وقر
وقع
وقف
وقي
وكا
وكد
وكز
وكل
ولج
ولد
ولي
وني
وهب
وهج
وهن
وهي
ي
ياس
يبس
يتم
يدي
يسر
يقظ
يقن
يمم
يمن
ينع
يوم
